"Points:0","Points:1","Points:2"
-2.2597,2.3876,0
-2.2765,2.548,0
-2.3263,2.7013,0
-2.407,2.8409,0
-2.5148,2.9607,0
-2.6453,3.0555,0
-2.7925,3.1211,0
-2.9503,3.1546,0
-3.1115,3.1546,0
-3.2692,3.1211,0
-3.4165,3.0555,0
-3.5469,2.9607,0
-3.6548,2.8409,0
-3.7354,2.7013,0
-3.7852,2.548,0
-3.8021,2.3876,0
-3.7852,2.2273,0
-3.7354,2.074,0
-3.6548,1.9343,0
-3.5469,1.8145,0
-3.4165,1.7197,0
-3.2692,1.6542,0
-3.1115,1.6206,0
-2.9503,1.6206,0
-2.7925,1.6542,0
-2.6453,1.7197,0
-2.5148,1.8145,0
-2.407,1.9343,0
-2.3263,2.0739,0
-2.2765,2.2273,0
-6.9143,1.1904,0
-6.885,1.0221,0
-6.8556,0.85383,0
-6.8262,0.68553,0
-6.7969,0.51722,0
-6.7675,0.34892,0
-6.7381,0.18062,0
-6.7088,0.012312,0
-6.6794,-0.15599,0
-6.65,-0.3243,0
-6.6207,-0.4926,0
-6.5913,-0.6609,0
-6.5619,-0.82921,0
-6.5325,-0.99751,0
-6.5032,-1.1658,0
-6.4738,-1.3341,0
-6.4444,-1.5024,0
-6.4151,-1.6707,0
-6.3857,-1.839,0
-6.3563,-2.0073,0
-6.327,-2.1756,0
-6.2976,-2.3439,0
-6.2682,-2.5122,0
-6.2389,-2.6806,0
-6.2095,-2.8489,0
-6.1801,-3.0172,0
-6.1508,-3.1855,0
-6.1214,-3.3538,0
-6.092,-3.5221,0
-6.0626,-3.6904,0
-6.0333,-3.8587,0
-5.8158,-3.8773,0
-5.5984,-3.896,0
-5.381,-3.9146,0
-5.1635,-3.9332,0
-4.9461,-3.9519,0
-4.7286,-3.9705,0
-4.5112,-3.9891,0
-4.2938,-4.0078,0
-4.0763,-4.0264,0
-3.8589,-4.0451,0
-3.6414,-4.0637,0
-3.424,-4.0823,0
-3.2066,-4.101,0
-2.9891,-4.1196,0
-2.7717,-4.1383,0
-2.5542,-4.1569,0
-2.3368,-4.1755,0
-2.1194,-4.1942,0
-1.9019,-4.2128,0
-1.6845,-4.2314,0
-1.467,-4.2501,0
-1.2496,-4.2687,0
-1.0322,-4.2873,0
-0.81472,-4.306,0
-0.59728,-4.3246,0
-0.37984,-4.3433,0
-0.1624,-4.3619,0
0.055037,-4.3805,0
0.27248,-4.3992,0
0.48992,-4.4178,0
0.70736,-4.4364,0
0.9248,-4.4551,0
1.1422,-4.4737,0
1.3597,-4.4924,0
1.5771,-4.511,0
1.7946,-4.5296,0
2.012,-4.5483,0
2.2294,-4.5669,0
2.4469,-4.5855,0
2.6643,-4.6042,0
2.8818,-4.6228,0
3.0992,-4.6415,0
3.3166,-4.6601,0
3.5341,-4.6787,0
3.7515,-4.6974,0
3.9689,-4.716,0
4.1864,-4.7347,0
4.4038,-4.7533,0
4.6213,-4.7719,0
4.8387,-4.7906,0
5.0561,-4.8092,0
5.2736,-4.8278,0
5.491,-4.8465,0
5.7085,-4.8651,0
5.9259,-4.8838,0
6.1433,-4.9024,0
6.3608,-4.921,0
6.5782,-4.9397,0
6.7957,-4.9583,0
7.0131,-4.9769,0
7.0138,-4.8102,0
7.0145,-4.6435,0
7.0151,-4.4768,0
7.0158,-4.3101,0
7.0165,-4.1433,0
7.0172,-3.9766,0
7.0179,-3.8099,0
7.0185,-3.6432,0
7.0192,-3.4764,0
7.0199,-3.3097,0
7.0206,-3.143,0
7.0212,-2.9763,0
7.0219,-2.8096,0
7.0226,-2.6428,0
7.0233,-2.4761,0
7.024,-2.3094,0
7.0246,-2.1427,0
7.0253,-1.9759,0
7.026,-1.8092,0
7.0267,-1.6425,0
7.0273,-1.4758,0
7.028,-1.309,0
7.0287,-1.1423,0
7.0294,-0.9756,0
7.0301,-0.80887,0
7.0307,-0.64215,0
7.0314,-0.47543,0
7.0321,-0.30871,0
7.0328,-0.14198,0
7.0334,0.024739,0
7.0341,0.19146,0
7.0348,0.35818,0
7.0355,0.52491,0
7.0362,0.69163,0
7.0368,0.85835,0
7.0375,1.0251,0
7.0382,1.1918,0
7.0389,1.3585,0
7.0395,1.5252,0
7.0402,1.692,0
7.0409,1.8587,0
7.0416,2.0254,0
7.0423,2.1921,0
7.0429,2.3589,0
7.0436,2.5256,0
7.0443,2.6923,0
7.045,2.859,0
7.0456,3.0257,0
7.0463,3.1925,0
7.047,3.3592,0
6.8261,3.4717,0
6.6051,3.5842,0
6.3842,3.6967,0
6.1632,3.8092,0
5.9423,3.9217,0
5.7214,4.0342,0
5.5004,4.1467,0
5.2795,4.2592,0
5.0585,4.3717,0
4.8376,4.4842,0
4.6166,4.5967,0
4.3957,4.7092,0
4.1748,4.8217,0
3.9538,4.9342,0
3.7329,5.0468,0
3.5119,5.1593,0
3.291,5.2718,0
3.0701,5.3843,0
2.8491,5.4968,0
2.6282,5.6093,0
2.4072,5.7218,0
2.1863,5.8343,0
1.9653,5.9468,0
1.7444,6.0593,0
1.5235,6.1718,0
1.3008,6.1321,0
1.0781,6.0924,0
0.85541,6.0527,0
0.63273,6.013,0
0.41004,5.9733,0
0.18736,5.9336,0
-0.035327,5.8939,0
-0.25801,5.8542,0
-0.48069,5.8145,0
-0.70338,5.7748,0
-0.92606,5.7351,0
-1.1487,5.6954,0
-1.3714,5.6557,0
-1.5941,5.6161,0
-1.8168,5.5763,0
-2.0395,5.5367,0
-2.2622,5.497,0
-2.4848,5.4573,0
-2.7075,5.4176,0
-2.9302,5.3779,0
-3.1529,5.3382,0
-3.3756,5.2985,0
-3.5983,5.2588,0
-3.821,5.2191,0
-4.0436,5.1794,0
-4.2663,5.1397,0
-4.489,5.1,0
-4.7117,5.0603,0
-4.9344,5.0206,0
-5.1571,4.9809,0
-5.3797,4.9412,0
-5.6024,4.9015,0
-5.8251,4.8618,0
-6.0478,4.8221,0
-6.2705,4.7824,0
-6.3027,4.6028,0
-6.3349,4.4232,0
-6.3671,4.2436,0
-6.3993,4.064,0
-6.4314,3.8844,0
-6.4636,3.7048,0
-6.4958,3.5252,0
-6.528,3.3456,0
-6.5602,3.166,0
-6.5924,2.9864,0
-6.6246,2.8068,0
-6.6568,2.6272,0
-6.689,2.4476,0
-6.7212,2.268,0
-6.7534,2.0884,0
-6.7856,1.9088,0
-6.8178,1.7292,0
-6.8499,1.5496,0
-6.8821,1.37,0
-5.7847,1.1775,0
-6.4578,1.3265,0
-6.6999,1.5276,0
-6.4281,0.66993,0
-6.6078,0.36632,0
-6.6776,1.7545,0
-6.5157,0.20106,0
-6.3576,2.0002,0
-6.258,0.63369,0
-6.4953,-0.17952,0
-4.617,2.3133,0
-6.178,0.55429,0
-6.5357,2.3316,0
-6.4455,-0.55239,0
-5.9755,2.681,0
-6.1918,2.3036,0
-5.0562,1.1501,0
-5.9864,-0.25334,0
-6.3985,2.9625,0
-6.3218,-1.1338,0
-4.5491,-2.7486,0
-4.0011,2.609,0
-5.7216,-1.8211,0
-6.088,-2.3312,0
-6.3003,3.3114,0
-4.6416,4.1813,0
-5.209,4.7419,0
-4.0906,2.1832,0
-4.6259,-3.6217,0
-4.789,-3.8429,0
-4.2498,1.8258,0
-5.8256,3.8688,0
-6.237,4.1221,0
-5.7701,4.5207,0
-3.8298,1.797,0
-6.0649,4.3279,0
-3.837,3.3939,0
-3.8245,1.5016,0
