"T","V"
0,0.0545
0.217996,0.490436
0.871578,1.36073
1.95641,2.65586
3.45452,4.34548
5.31894,6.36178
7.45745,8.58607
9.72512,10.8505
11.9379,12.9648
13.9119,14.7647
15.5142,16.1573
16.6962,17.1375
17.4909,17.7678
17.9802,18.14
18.2579,18.3432
18.4038,18.4461
18.4751,18.4946
18.5075,18.5159
18.5213,18.5246
18.5267,18.528
18.5287,18.5291
18.5294,18.5295
18.5296,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
18.5297,18.5297
